question;answer;text
In which country is Recreativo de Huelva based?;Recreativo de Huelva is based in Spain.;<s>[INST] In which country is Recreativo de Huelva based? [/INST] Recreativo de Huelva is based in Spain. </s>
What is the full name of Recreativo de Huelva?;The full name of Recreativo de Huelva is Recreativo de Huelva.;<s>[INST] What is the full name of Recreativo de Huelva? [/INST] The full name of Recreativo de Huelva is Recreativo de Huelva. </s>
Who is the manager of Real Murcia in the Primera Division 07/08?;The manager of Real Murcia in the Primera Division 07/08 is Gustavo Munua.;<s>[INST] Who is the manager of Real Murcia in the Primera Division 07/08? [/INST] The manager of Real Murcia in the Primera Division 07/08 is Gustavo Munua. </s>
Where does Real Murcia play their home games in the Primera Division 07/08?;Real Murcia plays their home games at Enrique Roca in the Primera Division 07/08.;<s>[INST] Where does Real Murcia play their home games in the Primera Division 07/08? [/INST] Real Murcia plays their home games at Enrique Roca in the Primera Division 07/08. </s>
When was Real Murcia founded?;Real Murcia was founded on 02/20/1908.;<s>[INST] When was Real Murcia founded? [/INST] Real Murcia was founded on 02/20/1908. </s>
In which country is Real Murcia based?;Real Murcia is based in Spain.;<s>[INST] In which country is Real Murcia based? [/INST] Real Murcia is based in Spain. </s>
What is the full name of Real Murcia?;The full name of Real Murcia is Real Murcia.;<s>[INST] What is the full name of Real Murcia? [/INST] The full name of Real Murcia is Real Murcia. </s>
Who is the manager of Gimnàstic de Tarragona in the Primera Division 06/07?;The manager of Gimnàstic de Tarragona in the Primera Division 06/07 is Daniel Vídal González.;<s>[INST] Who is the manager of Gimnàstic de Tarragona in the Primera Division 06/07? [/INST] The manager of Gimnàstic de Tarragona in the Primera Division 06/07 is Daniel Vídal González. </s>
Where does Gimnàstic de Tarragona play their home games in the Primera Division 06/07?;Gimnàstic de Tarragona plays their home games at Nou Estadi Municipal in the Primera Division 06/07.;<s>[INST] Where does Gimnàstic de Tarragona play their home games in the Primera Division 06/07? [/INST] Gimnàstic de Tarragona plays their home games at Nou Estadi Municipal in the Primera Division 06/07. </s>
When was Gimnàstic de Tarragona founded?;Gimnàstic de Tarragona was founded on 11/30/1913.;<s>[INST] When was Gimnàstic de Tarragona founded? [/INST] Gimnàstic de Tarragona was founded on 11/30/1913. </s>
In which country is Gimnàstic de Tarragona based?;Gimnàstic de Tarragona is based in Spain.;<s>[INST] In which country is Gimnàstic de Tarragona based? [/INST] Gimnàstic de Tarragona is based in Spain. </s>
What is the full name of Gimnàstic de Tarragona?;The full name of Gimnàstic de Tarragona is Gimnàstic de Tarragona.;<s>[INST] What is the full name of Gimnàstic de Tarragona? [/INST] The full name of Gimnàstic de Tarragona is Gimnàstic de Tarragona. </s>
Who is the manager of Albacete Balompié in the Primera Division 04/05?;The manager of Albacete Balompié in the Primera Division 04/05 is Ruben Albes.;<s>[INST] Who is the manager of Albacete Balompié in the Primera Division 04/05? [/INST] The manager of Albacete Balompié in the Primera Division 04/05 is Ruben Albes. </s>
Where does Albacete Balompié play their home games in the Primera Division 04/05?;Albacete Balompié plays their home games at Carlos Belmonte in the Primera Division 04/05.;<s>[INST] Where does Albacete Balompié play their home games in the Primera Division 04/05? [/INST] Albacete Balompié plays their home games at Carlos Belmonte in the Primera Division 04/05. </s>
When was Albacete Balompié founded?;Albacete Balompié was founded on 08/01/1940.;<s>[INST] When was Albacete Balompié founded? [/INST] Albacete Balompié was founded on 08/01/1940. </s>
In which country is Albacete Balompié based?;Albacete Balompié is based in Spain.;<s>[INST] In which country is Albacete Balompié based? [/INST] Albacete Balompié is based in Spain. </s>
What is the full name of Albacete Balompié?;The full name of Albacete Balompié is Albacete Balompié.;<s>[INST] What is the full name of Albacete Balompié? [/INST] The full name of Albacete Balompié is Albacete Balompié. </s>
Who is the manager of Real Oviedo in the Primera Division 00/01?;The manager of Real Oviedo in the Primera Division 00/01 is Luis Miguel Carrion.;<s>[INST] Who is the manager of Real Oviedo in the Primera Division 00/01? [/INST] The manager of Real Oviedo in the Primera Division 00/01 is Luis Miguel Carrion. </s>
Where does Real Oviedo play their home games in the Primera Division 00/01?;Real Oviedo plays their home games at Carlos Tartiere in the Primera Division 00/01.;<s>[INST] Where does Real Oviedo play their home games in the Primera Division 00/01? [/INST] Real Oviedo plays their home games at Carlos Tartiere in the Primera Division 00/01. </s>
When was Real Oviedo founded?;Real Oviedo was founded on 03/26/1926.;<s>[INST] When was Real Oviedo founded? [/INST] Real Oviedo was founded on 03/26/1926. </s>
In which country is Real Oviedo based?;Real Oviedo is based in Spain.;<s>[INST] In which country is Real Oviedo based? [/INST] Real Oviedo is based in Spain. </s>
What is the full name of Real Oviedo?;The full name of Real Oviedo is Real Oviedo.;<s>[INST] What is the full name of Real Oviedo? [/INST] The full name of Real Oviedo is Real Oviedo. </s>
In which country is Extremadura based?;Extremadura is based in Spain.;<s>[INST] In which country is Extremadura based? [/INST] Extremadura is based in Spain. </s>
What is the full name of Extremadura?;The full name of Extremadura is Extremadura.;<s>[INST] What is the full name of Extremadura? [/INST] The full name of Extremadura is Extremadura. </s>
Where does Unión Deportiva Salamanca play their home games in the Primera Division 98/99?;Unión Deportiva Salamanca plays their home games at Estadio Helmántico in the Primera Division 98/99.;<s>[INST] Where does Unión Deportiva Salamanca play their home games in the Primera Division 98/99? [/INST] Unión Deportiva Salamanca plays their home games at Estadio Helmántico in the Primera Division 98/99. </s>
When was Unión Deportiva Salamanca founded?;Unión Deportiva Salamanca was founded on 02/09/1923.;<s>[INST] When was Unión Deportiva Salamanca founded? [/INST] Unión Deportiva Salamanca was founded on 02/09/1923. </s>
In which country is Unión Deportiva Salamanca based?;Unión Deportiva Salamanca is based in Spain.;<s>[INST] In which country is Unión Deportiva Salamanca based? [/INST] Unión Deportiva Salamanca is based in Spain. </s>
What is the full name of Unión Deportiva Salamanca?;The full name of Unión Deportiva Salamanca is Unión Deportiva Salamanca.;<s>[INST] What is the full name of Unión Deportiva Salamanca? [/INST] The full name of Unión Deportiva Salamanca is Unión Deportiva Salamanca. </s>
Who is the manager of SD Compostela in the Primera Division 97/98?;The manager of SD Compostela in the Primera Division 97/98 is Miguel Angel Alonso Naya.;<s>[INST] Who is the manager of SD Compostela in the Primera Division 97/98? [/INST] The manager of SD Compostela in the Primera Division 97/98 is Miguel Angel Alonso Naya. </s>
Where does SD Compostela play their home games in the Primera Division 97/98?;SD Compostela plays their home games at Estadio Vero Boquete de San Lazaro in the Primera Division 97/98.;<s>[INST] Where does SD Compostela play their home games in the Primera Division 97/98? [/INST] SD Compostela plays their home games at Estadio Vero Boquete de San Lazaro in the Primera Division 97/98. </s>
When was SD Compostela founded?;SD Compostela was founded on 06/29/1962.;<s>[INST] When was SD Compostela founded? [/INST] SD Compostela was founded on 06/29/1962. </s>
In which country is SD Compostela based?;SD Compostela is based in Spain.;<s>[INST] In which country is SD Compostela based? [/INST] SD Compostela is based in Spain. </s>
What is the full name of SD Compostela?;The full name of SD Compostela is SD Compostela.;<s>[INST] What is the full name of SD Compostela? [/INST] The full name of SD Compostela is SD Compostela. </s>
Who is the manager of Mérida AD in the Primera Division 97/98?;The manager of Mérida AD in the Primera Division 97/98 is Manel Ruano.;<s>[INST] Who is the manager of Mérida AD in the Primera Division 97/98? [/INST] The manager of Mérida AD in the Primera Division 97/98 is Manel Ruano. </s>
Where does Mérida AD play their home games in the Primera Division 97/98?;Mérida AD plays their home games at Estadio Romano in the Primera Division 97/98.;<s>[INST] Where does Mérida AD play their home games in the Primera Division 97/98? [/INST] Mérida AD plays their home games at Estadio Romano in the Primera Division 97/98. </s>
When was Mérida AD founded?;Mérida AD was founded on 02/19/2013.;<s>[INST] When was Mérida AD founded? [/INST] Mérida AD was founded on 02/19/2013. </s>
In which country is Mérida AD based?;Mérida AD is based in Spain.;<s>[INST] In which country is Mérida AD based? [/INST] Mérida AD is based in Spain. </s>
What is the full name of Mérida AD?;The full name of Mérida AD is Mérida AD.;<s>[INST] What is the full name of Mérida AD? [/INST] The full name of Mérida AD is Mérida AD. </s>
Where does CD Logroñés play their home games in the Primera Division 96/97?;CD Logroñés plays their home games at Estadio Las Gaunas in the Primera Division 96/97.;<s>[INST] Where does CD Logroñés play their home games in the Primera Division 96/97? [/INST] CD Logroñés plays their home games at Estadio Las Gaunas in the Primera Division 96/97. </s>
When was CD Logroñés founded?;CD Logroñés was founded on 05/30/1940.;<s>[INST] When was CD Logroñés founded? [/INST] CD Logroñés was founded on 05/30/1940. </s>
In which country is CD Logroñés based?;CD Logroñés is based in Spain.;<s>[INST] In which country is CD Logroñés based? [/INST] CD Logroñés is based in Spain. </s>
What is the full name of CD Logroñés?;The full name of CD Logroñés is CD Logroñés.;<s>[INST] What is the full name of CD Logroñés? [/INST] The full name of CD Logroñés is CD Logroñés. </s>
In which country is Lerida based?;Lerida is based in Spain.;<s>[INST] In which country is Lerida based? [/INST] Lerida is based in Spain. </s>
What is the full name of Lerida?;The full name of Lerida is Lerida.;<s>[INST] What is the full name of Lerida? [/INST] The full name of Lerida is Lerida. </s>
Who is the manager of VfB Stuttgart in the Bundesliga 23/24?;The manager of VfB Stuttgart in the Bundesliga 23/24 is Sebastian Hoeneß.;<s>[INST] Who is the manager of VfB Stuttgart in the Bundesliga 23/24? [/INST] The manager of VfB Stuttgart in the Bundesliga 23/24 is Sebastian Hoeneß. </s>
Where does VfB Stuttgart play their home games in the Bundesliga 23/24?;VfB Stuttgart plays their home games at MHP Arena in the Bundesliga 23/24.;<s>[INST] Where does VfB Stuttgart play their home games in the Bundesliga 23/24? [/INST] VfB Stuttgart plays their home games at MHP Arena in the Bundesliga 23/24. </s>
When was VfB Stuttgart founded?;VfB Stuttgart was founded on 09/09/1893.;<s>[INST] When was VfB Stuttgart founded? [/INST] VfB Stuttgart was founded on 09/09/1893. </s>
In which country is VfB Stuttgart based?;VfB Stuttgart is based in Germany.;<s>[INST] In which country is VfB Stuttgart based? [/INST] VfB Stuttgart is based in Germany. </s>
What is the full name of VfB Stuttgart?;The full name of VfB Stuttgart is VfB Stuttgart.;<s>[INST] What is the full name of VfB Stuttgart? [/INST] The full name of VfB Stuttgart is VfB Stuttgart. </s>
Who is the manager of TSG Hoffenheim in the Bundesliga 23/24?;The manager of TSG Hoffenheim in the Bundesliga 23/24 is Pellegrino Matarazzo.;<s>[INST] Who is the manager of TSG Hoffenheim in the Bundesliga 23/24? [/INST] The manager of TSG Hoffenheim in the Bundesliga 23/24 is Pellegrino Matarazzo. </s>
Where does TSG Hoffenheim play their home games in the Bundesliga 23/24?;TSG Hoffenheim plays their home games at PreZero Arena in the Bundesliga 23/24.;<s>[INST] Where does TSG Hoffenheim play their home games in the Bundesliga 23/24? [/INST] TSG Hoffenheim plays their home games at PreZero Arena in the Bundesliga 23/24. </s>
When was TSG Hoffenheim founded?;TSG Hoffenheim was founded on 07/01/1899.;<s>[INST] When was TSG Hoffenheim founded? [/INST] TSG Hoffenheim was founded on 07/01/1899. </s>
In which country is TSG Hoffenheim based?;TSG Hoffenheim is based in Germany.;<s>[INST] In which country is TSG Hoffenheim based? [/INST] TSG Hoffenheim is based in Germany. </s>
What is the full name of TSG Hoffenheim?;The full name of TSG Hoffenheim is TSG Hoffenheim.;<s>[INST] What is the full name of TSG Hoffenheim? [/INST] The full name of TSG Hoffenheim is TSG Hoffenheim. </s>
Who is the manager of Eintracht Frankfurt in the Bundesliga 23/24?;The manager of Eintracht Frankfurt in the Bundesliga 23/24 is Dino Toppmoller.;<s>[INST] Who is the manager of Eintracht Frankfurt in the Bundesliga 23/24? [/INST] The manager of Eintracht Frankfurt in the Bundesliga 23/24 is Dino Toppmoller. </s>
Where does Eintracht Frankfurt play their home games in the Bundesliga 23/24?;Eintracht Frankfurt plays their home games at Deutsche Bank Park in the Bundesliga 23/24.;<s>[INST] Where does Eintracht Frankfurt play their home games in the Bundesliga 23/24? [/INST] Eintracht Frankfurt plays their home games at Deutsche Bank Park in the Bundesliga 23/24. </s>
When was Eintracht Frankfurt founded?;Eintracht Frankfurt was founded on 03/08/1899.;<s>[INST] When was Eintracht Frankfurt founded? [/INST] Eintracht Frankfurt was founded on 03/08/1899. </s>
In which country is Eintracht Frankfurt based?;Eintracht Frankfurt is based in Germany.;<s>[INST] In which country is Eintracht Frankfurt based? [/INST] Eintracht Frankfurt is based in Germany. </s>
What is the full name of Eintracht Frankfurt?;The full name of Eintracht Frankfurt is Eintracht Frankfurt.;<s>[INST] What is the full name of Eintracht Frankfurt? [/INST] The full name of Eintracht Frankfurt is Eintracht Frankfurt. </s>
Who is the manager of VfL Wolfsburg in the Bundesliga 23/24?;The manager of VfL Wolfsburg in the Bundesliga 23/24 is Niko Kovač.;<s>[INST] Who is the manager of VfL Wolfsburg in the Bundesliga 23/24? [/INST] The manager of VfL Wolfsburg in the Bundesliga 23/24 is Niko Kovač. </s>
Where does VfL Wolfsburg play their home games in the Bundesliga 23/24?;VfL Wolfsburg plays their home games at Volkswagen Arena in the Bundesliga 23/24.;<s>[INST] Where does VfL Wolfsburg play their home games in the Bundesliga 23/24? [/INST] VfL Wolfsburg plays their home games at Volkswagen Arena in the Bundesliga 23/24. </s>
When was VfL Wolfsburg founded?;VfL Wolfsburg was founded on 09/12/1945.;<s>[INST] When was VfL Wolfsburg founded? [/INST] VfL Wolfsburg was founded on 09/12/1945. </s>
In which country is VfL Wolfsburg based?;VfL Wolfsburg is based in Germany.;<s>[INST] In which country is VfL Wolfsburg based? [/INST] VfL Wolfsburg is based in Germany. </s>
What is the full name of VfL Wolfsburg?;The full name of VfL Wolfsburg is VfL Wolfsburg.;<s>[INST] What is the full name of VfL Wolfsburg? [/INST] The full name of VfL Wolfsburg is VfL Wolfsburg. </s>
Who is the manager of FC Augsburg in the Bundesliga 23/24?;The manager of FC Augsburg in the Bundesliga 23/24 is Jess Thorup.;<s>[INST] Who is the manager of FC Augsburg in the Bundesliga 23/24? [/INST] The manager of FC Augsburg in the Bundesliga 23/24 is Jess Thorup. </s>
Where does FC Augsburg play their home games in the Bundesliga 23/24?;FC Augsburg plays their home games at WWK ARENA in the Bundesliga 23/24.;<s>[INST] Where does FC Augsburg play their home games in the Bundesliga 23/24? [/INST] FC Augsburg plays their home games at WWK ARENA in the Bundesliga 23/24. </s>
When was FC Augsburg founded?;FC Augsburg was founded on 08/08/1907.;<s>[INST] When was FC Augsburg founded? [/INST] FC Augsburg was founded on 08/08/1907. </s>
In which country is FC Augsburg based?;FC Augsburg is based in Germany.;<s>[INST] In which country is FC Augsburg based? [/INST] FC Augsburg is based in Germany. </s>
What is the full name of FC Augsburg?;The full name of FC Augsburg is FC Augsburg.;<s>[INST] What is the full name of FC Augsburg? [/INST] The full name of FC Augsburg is FC Augsburg. </s>
Who is the manager of 1. FC Heidenheim in the Bundesliga 23/24?;The manager of 1. FC Heidenheim in the Bundesliga 23/24 is Frank Schmidt.;<s>[INST] Who is the manager of 1. FC Heidenheim in the Bundesliga 23/24? [/INST] The manager of 1. FC Heidenheim in the Bundesliga 23/24 is Frank Schmidt. </s>
Where does 1. FC Heidenheim play their home games in the Bundesliga 23/24?;1. FC Heidenheim plays their home games at Voith-Arena in the Bundesliga 23/24.;<s>[INST] Where does 1. FC Heidenheim play their home games in the Bundesliga 23/24? [/INST] 1. FC Heidenheim plays their home games at Voith-Arena in the Bundesliga 23/24. </s>
When was 1. FC Heidenheim founded?;1. FC Heidenheim was founded on 05/27/1972.;<s>[INST] When was 1. FC Heidenheim founded? [/INST] 1. FC Heidenheim was founded on 05/27/1972. </s>
In which country is 1. FC Heidenheim based?;1. FC Heidenheim is based in Germany.;<s>[INST] In which country is 1. FC Heidenheim based? [/INST] 1. FC Heidenheim is based in Germany. </s>
What is the full name of 1. FC Heidenheim?;The full name of 1. FC Heidenheim is 1. FC Heidenheim.;<s>[INST] What is the full name of 1. FC Heidenheim? [/INST] The full name of 1. FC Heidenheim is 1. FC Heidenheim. </s>
Who is the manager of VfL Bochum 1848 in the Bundesliga 23/24?;The manager of VfL Bochum 1848 in the Bundesliga 23/24 is Thomas Letsch.;<s>[INST] Who is the manager of VfL Bochum 1848 in the Bundesliga 23/24? [/INST] The manager of VfL Bochum 1848 in the Bundesliga 23/24 is Thomas Letsch. </s>
Where does VfL Bochum 1848 play their home games in the Bundesliga 23/24?;VfL Bochum 1848 plays their home games at Vonovia Ruhrstadion in the Bundesliga 23/24.;<s>[INST] Where does VfL Bochum 1848 play their home games in the Bundesliga 23/24? [/INST] VfL Bochum 1848 plays their home games at Vonovia Ruhrstadion in the Bundesliga 23/24. </s>
When was VfL Bochum 1848 founded?;VfL Bochum 1848 was founded on 07/26/1848.;<s>[INST] When was VfL Bochum 1848 founded? [/INST] VfL Bochum 1848 was founded on 07/26/1848. </s>
In which country is VfL Bochum 1848 based?;VfL Bochum 1848 is based in Germany.;<s>[INST] In which country is VfL Bochum 1848 based? [/INST] VfL Bochum 1848 is based in Germany. </s>
What is the full name of VfL Bochum 1848?;The full name of VfL Bochum 1848 is VfL Bochum 1848.;<s>[INST] What is the full name of VfL Bochum 1848? [/INST] The full name of VfL Bochum 1848 is VfL Bochum 1848. </s>
Who is the manager of Darmstadt 98 in the Bundesliga 23/24?;The manager of Darmstadt 98 in the Bundesliga 23/24 is Torsten Lieberknecht.;<s>[INST] Who is the manager of Darmstadt 98 in the Bundesliga 23/24? [/INST] The manager of Darmstadt 98 in the Bundesliga 23/24 is Torsten Lieberknecht. </s>
Where does Darmstadt 98 play their home games in the Bundesliga 23/24?;Darmstadt 98 plays their home games at Merck-Stadion am Böllenfalltor in the Bundesliga 23/24.;<s>[INST] Where does Darmstadt 98 play their home games in the Bundesliga 23/24? [/INST] Darmstadt 98 plays their home games at Merck-Stadion am Böllenfalltor in the Bundesliga 23/24. </s>
When was Darmstadt 98 founded?;Darmstadt 98 was founded on 05/22/1898.;<s>[INST] When was Darmstadt 98 founded? [/INST] Darmstadt 98 was founded on 05/22/1898. </s>
In which country is Darmstadt 98 based?;Darmstadt 98 is based in Germany.;<s>[INST] In which country is Darmstadt 98 based? [/INST] Darmstadt 98 is based in Germany. </s>
What is the full name of Darmstadt 98?;The full name of Darmstadt 98 is Darmstadt 98.;<s>[INST] What is the full name of Darmstadt 98? [/INST] The full name of Darmstadt 98 is Darmstadt 98. </s>
Who is the manager of 1. FSV Mainz 05 in the Bundesliga 23/24?;The manager of 1. FSV Mainz 05 in the Bundesliga 23/24 is Jan Siewert.;<s>[INST] Who is the manager of 1. FSV Mainz 05 in the Bundesliga 23/24? [/INST] The manager of 1. FSV Mainz 05 in the Bundesliga 23/24 is Jan Siewert. </s>
Where does 1. FSV Mainz 05 play their home games in the Bundesliga 23/24?;1. FSV Mainz 05 plays their home games at MEWA Arena in the Bundesliga 23/24.;<s>[INST] Where does 1. FSV Mainz 05 play their home games in the Bundesliga 23/24? [/INST] 1. FSV Mainz 05 plays their home games at MEWA Arena in the Bundesliga 23/24. </s>
When was 1. FSV Mainz 05 founded?;1. FSV Mainz 05 was founded on 03/16/1905.;<s>[INST] When was 1. FSV Mainz 05 founded? [/INST] 1. FSV Mainz 05 was founded on 03/16/1905. </s>
In which country is 1. FSV Mainz 05 based?;1. FSV Mainz 05 is based in Germany.;<s>[INST] In which country is 1. FSV Mainz 05 based? [/INST] 1. FSV Mainz 05 is based in Germany. </s>
What is the full name of 1. FSV Mainz 05?;The full name of 1. FSV Mainz 05 is 1. FSV Mainz 05.;<s>[INST] What is the full name of 1. FSV Mainz 05? [/INST] The full name of 1. FSV Mainz 05 is 1. FSV Mainz 05. </s>
Who is the manager of 1. FC Union Berlin in the Bundesliga 23/24?;The manager of 1. FC Union Berlin in the Bundesliga 23/24 is Marco Grote.;<s>[INST] Who is the manager of 1. FC Union Berlin in the Bundesliga 23/24? [/INST] The manager of 1. FC Union Berlin in the Bundesliga 23/24 is Marco Grote. </s>
Where does 1. FC Union Berlin play their home games in the Bundesliga 23/24?;1. FC Union Berlin plays their home games at An der alten Försterei in the Bundesliga 23/24.;<s>[INST] Where does 1. FC Union Berlin play their home games in the Bundesliga 23/24? [/INST] 1. FC Union Berlin plays their home games at An der alten Försterei in the Bundesliga 23/24. </s>
When was 1. FC Union Berlin founded?;1. FC Union Berlin was founded on 01/20/1966.;<s>[INST] When was 1. FC Union Berlin founded? [/INST] 1. FC Union Berlin was founded on 01/20/1966. </s>
In which country is 1. FC Union Berlin based?;1. FC Union Berlin is based in Germany.;<s>[INST] In which country is 1. FC Union Berlin based? [/INST] 1. FC Union Berlin is based in Germany. </s>
What is the full name of 1. FC Union Berlin?;The full name of 1. FC Union Berlin is 1. FC Union Berlin.;<s>[INST] What is the full name of 1. FC Union Berlin? [/INST] The full name of 1. FC Union Berlin is 1. FC Union Berlin. </s>
Who is the manager of 1. FC Köln in the Bundesliga 23/24?;The manager of 1. FC Köln in the Bundesliga 23/24 is Steffen Baumgart.;<s>[INST] Who is the manager of 1. FC Köln in the Bundesliga 23/24? [/INST] The manager of 1. FC Köln in the Bundesliga 23/24 is Steffen Baumgart. </s>
Where does 1. FC Köln play their home games in the Bundesliga 23/24?;1. FC Köln plays their home games at RheinEnergieStadion in the Bundesliga 23/24.;<s>[INST] Where does 1. FC Köln play their home games in the Bundesliga 23/24? [/INST] 1. FC Köln plays their home games at RheinEnergieStadion in the Bundesliga 23/24. </s>
When was 1. FC Köln founded?;1. FC Köln was founded on 02/13/1948.;<s>[INST] When was 1. FC Köln founded? [/INST] 1. FC Köln was founded on 02/13/1948. </s>
In which country is 1. FC Köln based?;1. FC Köln is based in Germany.;<s>[INST] In which country is 1. FC Köln based? [/INST] 1. FC Köln is based in Germany. </s>
What is the full name of 1. FC Köln?;The full name of 1. FC Köln is 1. FC Köln.;<s>[INST] What is the full name of 1. FC Köln? [/INST] The full name of 1. FC Köln is 1. FC Köln. </s>
Who is the manager of FC Schalke 04 in the Bundesliga 22/23?;The manager of FC Schalke 04 in the Bundesliga 22/23 is Karel Geraerts.;<s>[INST] Who is the manager of FC Schalke 04 in the Bundesliga 22/23? [/INST] The manager of FC Schalke 04 in the Bundesliga 22/23 is Karel Geraerts. </s>
Where does FC Schalke 04 play their home games in the Bundesliga 22/23?;FC Schalke 04 plays their home games at VELTINS-Arena in the Bundesliga 22/23.;<s>[INST] Where does FC Schalke 04 play their home games in the Bundesliga 22/23? [/INST] FC Schalke 04 plays their home games at VELTINS-Arena in the Bundesliga 22/23. </s>
When was FC Schalke 04 founded?;FC Schalke 04 was founded on 05/04/1904.;<s>[INST] When was FC Schalke 04 founded? [/INST] FC Schalke 04 was founded on 05/04/1904. </s>
In which country is FC Schalke 04 based?;FC Schalke 04 is based in Germany.;<s>[INST] In which country is FC Schalke 04 based? [/INST] FC Schalke 04 is based in Germany. </s>
What is the full name of FC Schalke 04?;The full name of FC Schalke 04 is FC Schalke 04.;<s>[INST] What is the full name of FC Schalke 04? [/INST] The full name of FC Schalke 04 is FC Schalke 04. </s>
Who is the manager of Hertha BSC in the Bundesliga 22/23?;The manager of Hertha BSC in the Bundesliga 22/23 is Pál Dárdai.;<s>[INST] Who is the manager of Hertha BSC in the Bundesliga 22/23? [/INST] The manager of Hertha BSC in the Bundesliga 22/23 is Pál Dárdai. </s>
Where does Hertha BSC play their home games in the Bundesliga 22/23?;Hertha BSC plays their home games at Olympiastadion in the Bundesliga 22/23.;<s>[INST] Where does Hertha BSC play their home games in the Bundesliga 22/23? [/INST] Hertha BSC plays their home games at Olympiastadion in the Bundesliga 22/23. </s>
When was Hertha BSC founded?;Hertha BSC was founded on 07/25/1892.;<s>[INST] When was Hertha BSC founded? [/INST] Hertha BSC was founded on 07/25/1892. </s>
In which country is Hertha BSC based?;Hertha BSC is based in Germany.;<s>[INST] In which country is Hertha BSC based? [/INST] Hertha BSC is based in Germany. </s>
What is the full name of Hertha BSC?;The full name of Hertha BSC is Hertha BSC.;<s>[INST] What is the full name of Hertha BSC? [/INST] The full name of Hertha BSC is Hertha BSC. </s>
Who is the manager of Arminia Bielefeld in the Bundesliga 21/22?;The manager of Arminia Bielefeld in the Bundesliga 21/22 is Michel Kniat.;<s>[INST] Who is the manager of Arminia Bielefeld in the Bundesliga 21/22? [/INST] The manager of Arminia Bielefeld in the Bundesliga 21/22 is Michel Kniat. </s>
Where does Arminia Bielefeld play their home games in the Bundesliga 21/22?;Arminia Bielefeld plays their home games at Schüco-Arena in the Bundesliga 21/22.;<s>[INST] Where does Arminia Bielefeld play their home games in the Bundesliga 21/22? [/INST] Arminia Bielefeld plays their home games at Schüco-Arena in the Bundesliga 21/22. </s>
When was Arminia Bielefeld founded?;Arminia Bielefeld was founded on 05/03/1905.;<s>[INST] When was Arminia Bielefeld founded? [/INST] Arminia Bielefeld was founded on 05/03/1905. </s>
In which country is Arminia Bielefeld based?;Arminia Bielefeld is based in Germany.;<s>[INST] In which country is Arminia Bielefeld based? [/INST] Arminia Bielefeld is based in Germany. </s>
What is the full name of Arminia Bielefeld?;The full name of Arminia Bielefeld is Arminia Bielefeld.;<s>[INST] What is the full name of Arminia Bielefeld? [/INST] The full name of Arminia Bielefeld is Arminia Bielefeld. </s>
Who is the manager of SpVgg Greuther Fürth in the Bundesliga 21/22?;The manager of SpVgg Greuther Fürth in the Bundesliga 21/22 is Alexander Zorniger.;<s>[INST] Who is the manager of SpVgg Greuther Fürth in the Bundesliga 21/22? [/INST] The manager of SpVgg Greuther Fürth in the Bundesliga 21/22 is Alexander Zorniger. </s>
Where does SpVgg Greuther Fürth play their home games in the Bundesliga 21/22?;SpVgg Greuther Fürth plays their home games at Sportpark Ronhof Thomas Sommer in the Bundesliga 21/22.;<s>[INST] Where does SpVgg Greuther Fürth play their home games in the Bundesliga 21/22? [/INST] SpVgg Greuther Fürth plays their home games at Sportpark Ronhof Thomas Sommer in the Bundesliga 21/22. </s>
When was SpVgg Greuther Fürth founded?;SpVgg Greuther Fürth was founded on 09/23/1903.;<s>[INST] When was SpVgg Greuther Fürth founded? [/INST] SpVgg Greuther Fürth was founded on 09/23/1903. </s>
In which country is SpVgg Greuther Fürth based?;SpVgg Greuther Fürth is based in Germany.;<s>[INST] In which country is SpVgg Greuther Fürth based? [/INST] SpVgg Greuther Fürth is based in Germany. </s>
What is the full name of SpVgg Greuther Fürth?;The full name of SpVgg Greuther Fürth is SpVgg Greuther Fürth.;<s>[INST] What is the full name of SpVgg Greuther Fürth? [/INST] The full name of SpVgg Greuther Fürth is SpVgg Greuther Fürth. </s>
Who is the manager of Fortuna Düsseldorf in the Bundesliga 19/20?;The manager of Fortuna Düsseldorf in the Bundesliga 19/20 is Daniel Thioune.;<s>[INST] Who is the manager of Fortuna Düsseldorf in the Bundesliga 19/20? [/INST] The manager of Fortuna Düsseldorf in the Bundesliga 19/20 is Daniel Thioune. </s>
Where does Fortuna Düsseldorf play their home games in the Bundesliga 19/20?;Fortuna Düsseldorf plays their home games at Merkur Spiel-Arena in the Bundesliga 19/20.;<s>[INST] Where does Fortuna Düsseldorf play their home games in the Bundesliga 19/20? [/INST] Fortuna Düsseldorf plays their home games at Merkur Spiel-Arena in the Bundesliga 19/20. </s>
When was Fortuna Düsseldorf founded?;Fortuna Düsseldorf was founded on 05/05/1895.;<s>[INST] When was Fortuna Düsseldorf founded? [/INST] Fortuna Düsseldorf was founded on 05/05/1895. </s>
In which country is Fortuna Düsseldorf based?;Fortuna Düsseldorf is based in Germany.;<s>[INST] In which country is Fortuna Düsseldorf based? [/INST] Fortuna Düsseldorf is based in Germany. </s>
What is the full name of Fortuna Düsseldorf?;The full name of Fortuna Düsseldorf is Fortuna Düsseldorf.;<s>[INST] What is the full name of Fortuna Düsseldorf? [/INST] The full name of Fortuna Düsseldorf is Fortuna Düsseldorf. </s>
